epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2846.27,1.52457,2.18846,1.42615,0.83779,0.61961,0.72537,0.3851,1.51456,2.34386,1.35645,0.00055152,0.00055152,0.00055152
2,6019.14,1.42125,1.30601,1.33611,0.92829,0.8858,0.93451,0.4347,1.78972,1.2076,1.53797,0.00101584,0.00101584,0.00101584
3,8816.52,1.31605,1.00375,1.30344,0.7887,0.71034,0.81827,0.48174,1.40372,1.301,1.3293,0.00138848,0.00138848,0.00138848
4,12372.2,1.25192,0.81097,1.26283,0.94674,0.88999,0.93188,0.50479,1.68274,0.93757,1.4064,0.00125442,0.00125442,0.00125442
5,15392.2,1.19674,0.70423,1.21823,0.8339,0.8265,0.87984,0.58932,1.23803,0.9387,1.19602,0.00111689,0.00111689,0.00111689
6,18770.1,1.12525,0.61755,1.17658,0.96295,0.87258,0.9401,0.63267,1.18376,0.67999,1.16987,0.000979362,0.000979362,0.000979362
7,21534.3,1.07989,0.56614,1.14669,0.98556,0.91645,0.95309,0.67995,1.05187,0.59356,1.09537,0.000841835,0.000841835,0.000841835
8,24557.1,1.02442,0.51659,1.12246,0.98756,0.93272,0.95585,0.6861,1.0622,0.5314,1.10011,0.000704307,0.000704307,0.000704307
9,27682.5,0.97284,0.47514,1.09158,0.98951,0.85243,0.88445,0.64357,1.06076,0.50587,1.07101,0.00056678,0.00056678,0.00056678
10,30663.9,0.92993,0.44012,1.0743,0.99635,0.84803,0.87551,0.66455,1.00775,0.48193,1.06616,0.000429253,0.000429253,0.000429253
11,33288.8,0.8819,0.41919,1.03552,0.99439,0.95146,0.96272,0.70581,1.05729,0.45448,1.06068,0.000291725,0.000291725,0.000291725
12,36172.6,0.83275,0.39195,1.0089,0.9974,0.95294,0.96437,0.73807,0.957,0.41361,1.02974,0.000154198,0.000154198,0.000154198
